"","NGO","StartDate","EndDate","USD","Title","Details","Report","Fund","Continent","Country","SpeciesClass","isCWA","phase","More","euroContribution","euroTotal","URL","ID","Ref","Pounds","CentralWestAfrica"
"59","Kuapa Kokoo Farmers Union","2003-04-01 00:00:00.0","2005-03-31 00:00:00.0","74992","Building the Capacity of Farmers in the SW Ghana Conservation Corridor to Practice Cocoa Agroforestry","Field test and learn about effective agroforestry techniques that can be disseminated to approximately 30,000 union members in Ghana to improve farming practices, maintain livelihoods through cocoa farming and conserve the natural environment. Techniques include shade management, use of biological pest and disease controls, crop diversification and soil and watershed management.","- Final report (PDF - 346 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"60","Living Earth Foundation","2002-11-01 00:00:00.843","2006-04-30 00:00:00.843","249170","Ankasa Exploration Base","Build an experiential learning center, the Ankasa Exploration Base, near the Ankasa Resource Reserve in southwestern Ghana to encourage school children and out-of-school youth to use their senses to explore the environment. Lessons are connected to the children's lives back home with clear possibilities for action in relation to building a more sustainable lifestyle.","- Final report (PDF - 92 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"61","Marcus Parren","2002-10-15 00:00:00.0","2002-12-31 00:00:00.0","1000","Preliminary Meeting to Establish Elephant Corridors between Ghana and CÃ´te dâIvoire","Participate in a meeting at the Conservation International-Ghana office on the establishment of corridors for elephants between Ghana and CÃ´te d'Ivoire and on a strategy to raise funds to conserve key areas.","- Final report (PDF - 112 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"62","Rare","2002-12-01 00:00:00.423","2007-06-30 00:00:00.423","153373","Building a Global Constituency for Biodiversity Conservation","Implement a series of targeted public awareness and education campaigns in nine hotspots in Africa, Asia and Latin America. Campaign leaders participate in an intensive training course at the UK's Kent University or Mexico's Guadalajara University, prepare detailed plans to implement campaigns, link with a local organization in their region and commit to a minimum of two years with that organization.","- Final report (PDF - 529 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"63","Royal Society for the Protection of Birds","2009-01-01 00:00:00.0","2012-02-29 00:00:00.0","192475","Sustainable Finance for Protected Areas in Sierra Leone","Contribute to ensuring the long-term sustainability of the 75,000-hectare Gola Forest Reserves, a priority site for conservation within the Upper Guinea Forest, with support from carbon finance. The project team will achieve its goals by developing a carbon project, developing carbon agreements with local communities, building understanding of and capacity to implement carbon projects and enabling the incorporation of carbon financing into national laws.","- Final report, English (PDF - 134 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"64","Save My Future Foundation","2002-09-01 00:00:00.0","2003-03-31 00:00:00.0","6500","Liberia Sea Turtle Project","Building on baseline data collected in 2000, conduct a survey in all the coastal communities from Sinoe to Maryland County and a series of communal meetings to gather basic data about sea turtles in this sector, including species identification, threats and potential for conservation of sea turtles and other endangered marine species.","- Final report (PDF - 286 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"65","Skills and Agriculture Development Services, Inc.","2005-11-01 00:00:00.0","2006-07-31 00:00:00.0","19632","Building Sustainable Livelihoods around the Wologizi-Wonegizi Proposed Protected Areas","Improve community livelihoods in the area between the Wologizi and Wonegizi proposed protected areas (Baziwhen, Zigida, Luyema and Konia) in Zorzor District.  Provide practical skills training in animal rearing and soap making, and conduct conservation awareness activities.","- Final report (PDF - 300 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"66","Society for the Conservation of Nature of Liberia","2002-07-01 00:00:00.0","2003-06-30 00:00:00.0","155000","Implementation of Activities for Creating a Protected Area Network and Biodiversity Conservation Corridors in Liberia","Support creation of a protected area system to include 1.5 million hectares of Liberia's remaining rain forest. Specific activities include providing management and expertise to plan and develop the network, recruiting and training appropriate staff, constructing and maintaining infrastructures at Sapo National Park and ensuring boundaries are demarcated, maintained and patrolled.","- Final report (PDF - 29.2 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"67","Society for the Conservation of Nature of Liberia","2005-10-01 00:00:00.793","2007-09-30 00:00:00.793","9777","Reconstruction of Gbaboni Research Station at Sapo National Park","Collaborate with local communities and the Forest Development Authority to reconstruct the Gbaboni Research Station and ensure access by clearing the access road and hiking trail.","- Final report (PDF - 19 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"68","SOS-FORETS","2004-10-01 00:00:00.0","2005-09-30 00:00:00.0","27125","Biological Inventory and Ecological Study of the Southern Dassioko and Monogaga Forests (Southwest Coast of CÃ´te d'Ivoire)","Conduct biological surveys together with local communities and raise environmental awareness in two classified forests - Monogaga and Dassioko Sud - in the littoral forest zone of CÃ´te d'Ivoire.","- Final report, FranÃ§ais (PDF - 188 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"69","University of Calgary","2005-02-01 00:00:00.0","2006-05-31 00:00:00.0","6110","Primate and Birds Diversity in the Fazao-Malfacassa National Park, Togo","Undertake primate and bird surveys in the Fazao-Malfacassa National Park. Particular emphasis will be placed on surveying the area for the western chimpanzee and the Roloway guenon. Surveys will be undertaken in collaboration with staff from the Direction de la Faune et de la Chasse based in the park, and the Zoology Department of the UniversitÃ© de LomÃ©.","- Final report (PDF - 49.2 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"70","University of Louisiana at Monroe","2002-01-01 00:00:00.0","2005-06-30 00:00:00.0","132818","Habitat Assessment, Ichthyological Inventory and Management Recommendations for High Priority Coastal Mangrove Zone and Fouta Djalon of Guinea","Conduct inventory of fishes in the Fouta Djalon and coastal mangrove zone, including creating georeference and analysis through maps, databases and tissue samples. Provide technical assistance and equipment to local institutions to ensure sustainability of the project.","- Final report (PDF - 40.3 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"71","University of Vermont","2001-07-15 00:00:00.0","2001-09-02 00:00:00.0","3535","Herpetological Survey in the Ghana-Togo Highlands","Undertake a vertebrate field survey in the Ghana-Togo Highlands of the Upper Guinean Forests.","- Final report (PDF - 1.17 MB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"72","University of Vermont","2001-07-10 00:00:00.0","2001-09-02 00:00:00.0","7413","Photographic and Technical Field Support for Survey of the Ghana-Togo Highlands, Volta Region (Ghana)","Produce high-quality photographic images of a vertebrate field survey in the Ghana-Togo Highlands for use in illustrated report about the survey, other publications and the projectâs Web site.","- Final report (PDF - 1.17 MB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"73","University of Western Ontario","2002-05-01 00:00:00.0","2002-07-31 00:00:00.0","3885","Healthy Ecosystems, Healthy People: Linkages between Biodiversity, Ecosystem Health and Human Health","Cover travel and full participation costs for individuals from the Atlantic Forest, ChocÃ³-DariÃ©n-Western Ecuador, Guinean Forests of West Africa, Madagascar, Philippines, and Tropical Andes hotspots to attend the Healthy Ecosystems, Healthy People conference.","- Final report (PDF - 108 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"74","Wild Chimpanzee Foundation","2003-12-01 00:00:00.947","2006-12-01 00:00:00.947","184276","Education and Awareness to Improve the Protection of Wild Chimpanzees in West Africa","Contribute to the lasting protection of viable chimpanzee populations in their original forested habitat by conducting environmental education (drama, newsletters) and capacity building to generate support from local populations for the protection of the chimpanzees and their habitat in various regions in West Africa: the TaÃ¯ region, the MarahouÃ© and the Banco national parks (CÃ´te d'Ivoire), Sapo National Park (Liberia) and the Fouta Djallon region (Guinea).","- Final report (PDF - 215 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"75","World Wildlife Fund, Inc.","2004-07-01 00:00:00.0","2004-10-31 00:00:00.0","12807","Support for the Africa Biodiversity Collaborative Group","Support the Africa Biodiversity Collaborative Group in its review of the effectiveness of select forms of networking and communication of conservation concepts, tools and lessons to conservation decisionmakers and practitioners in all regions of Africa.","- Final report (PDF - 21.3 KB)- Document: Revised Communications Strategy (PDF - 235 KB)- Document: Sharing Lessons Learned for African Conservation (PDF - 778 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"76","Zoological Society of Philadelphia","2002-10-01 00:00:00.837","2005-09-30 00:00:00.837","34733","National Public Awareness Campaign for Liberia","Create a national public awareness campaign about the trade in bushmeat. Involve local companies in a series of radio programs and live theater productions in rural communities.","- Final report (PDF - 284 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"77","Zoological Society of Philadelphia","2002-06-01 00:00:00.0","2003-05-31 00:00:00.0","11574","Rural Bushmeat and Public Opinion Survey","Conduct a survey to evaluate biological, social and economic impacts of the bushmeat trade in select rural communities identified as sources for the urban bushmeat trade.","- Final report (PDF - 114 KB)","CEPF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"78",NA,"17-09-2014",NA,"$9,900","Sierra Leone Skimmer, Data Deficient"," ",NA,"MBZ","Africa","Guinea","CR","TRUE",NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"79",NA,"16-09-2014",NA,"$7,150","Pinstripe Damba"," ",NA,"MBZ","Africa","Madagascar","CR","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"80",NA,"16-09-2014",NA,"$9,000","largetooth sawfish"," ",NA,"MBZ","Africa","Madagascar","CR","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"81",NA,"16-09-2014",NA,"$5,000","Ghana Giant Squeaker Frog"," ",NA,"MBZ","Africa","Ghana","EN","TRUE",NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"82",NA,"16-09-2014",NA,"$2,500","Ethiopian Short-headed Frog"," ",NA,"MBZ","Africa","Ethiopia","CR","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"83",NA,"16-09-2014",NA,"$11,000","Angonoka, Ploughshare Tortoise"," ",NA,"MBZ","Africa","Madagascar","CR","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"84",NA,"16-09-2014",NA,"$9,500","Kihansi wild coffee"," ",NA,"MBZ","Africa","Tanzania","CR","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"85",NA,"16-09-2014",NA,"$4,000","African Penguin"," ",NA,"MBZ","Africa","South Africa","EN","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"86",NA,"16-09-2014",NA,"$2,500","Sociable Lapwing (plover)"," ",NA,"MBZ","Africa","Eritrea","CR","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"87",NA,"16-09-2014",NA,"$4,600","Kordofan giraffe"," ",NA,"MBZ","Africa","Congo, Democratic Republic of (Congo-Kinshasa)","NE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"88",NA,"16-09-2014",NA,"$10,000","Okapi"," ",NA,"MBZ","Africa","Congo, Democratic Republic of (Congo-Kinshasa)","EN","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"89",NA,"16-09-2014",NA,"$12,000","Black rhinoceros"," ",NA,"MBZ","Africa","Zimbabwe","CR","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"90",NA,"16-09-2014",NA,"$6,000","Neumann's black-and-white colobus monkey "," ",NA,"MBZ","Africa","Ethiopia","DD","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"91",NA,"16-09-2014",NA,"$5,000","Northern Sportive Lemur"," ",NA,"MBZ","Africa","Madagascar","CR","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"92",NA,"16-09-2014",NA,"$12,500","Bonobo"," ",NA,"MBZ","Africa","Congo, Democratic Republic of (Congo-Kinshasa)","EN","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,TRUE
